Feature,Accuracy,VarImp
Posts_per_Day,74.57627119,25.42372881
Time_of_posts,71.18644068,28.81355932
Followers,72.88135593,27.11864407
Follows,67.79661017,32.20338983
No_of_Posts,74.57627119,25.42372881
No_of_Replies,72.88135593,27.11864407
No_of_Hashtags,72.88135593,27.11864407
No_of_mentions,72.88135593,27.11864407
No_of_Emoji,74.57627119,25.42372881
No_of_Retweets,77.96610169,22.03389831
No_of_retweeted,69.49152542,30.50847458
No_of_PosTerms,71.18644068,28.81355932
No_of_NegTerms,71.18644068,28.81355932
abil,74.57627119,25.42372881
abl,71.18644068,28.81355932
absolut,67.79661017,32.20338983
accept,67.79661017,32.20338983
account,71.18644068,28.81355932
across,69.49152542,30.50847458
act,72.88135593,27.11864407
actual,76.27118644,23.72881356
add,71.18644068,28.81355932
ago,71.18644068,28.81355932
air,66.10169492,33.89830508
album,69.49152542,30.50847458
almost,71.18644068,28.81355932
alreadi,74.57627119,25.42372881
also,76.27118644,23.72881356
alway,71.18644068,28.81355932
amaz,76.27118644,23.72881356
american,74.57627119,25.42372881
anim,72.88135593,27.11864407
annoy,72.88135593,27.11864407
anoth,69.49152542,30.50847458
anxieti,72.88135593,27.11864407
anymor,66.10169492,33.89830508
anyon,76.27118644,23.72881356
anyth,69.49152542,30.50847458
appar,74.57627119,25.42372881
appear,77.96610169,22.03389831
appli,72.88135593,27.11864407
appoint,69.49152542,30.50847458
arent,72.88135593,27.11864407
around,72.88135593,27.11864407
arriv,72.88135593,27.11864407
art,72.88135593,27.11864407
ask,69.49152542,30.50847458
asleep,71.18644068,28.81355932
assum,72.88135593,27.11864407
attack,71.18644068,28.81355932
attent,69.49152542,30.50847458
attract,69.49152542,30.50847458
awar,76.27118644,23.72881356
away,67.79661017,32.20338983
awesom,72.88135593,27.11864407
babi,71.18644068,28.81355932
back,62.71186441,37.28813559
bad,72.88135593,27.11864407
bag,76.27118644,23.72881356
ball,67.79661017,32.20338983
band,67.79661017,32.20338983
basic,67.79661017,32.20338983
beauti,69.49152542,30.50847458
becom,69.49152542,30.50847458
bed,72.88135593,27.11864407
behind,74.57627119,25.42372881
believ,71.18644068,28.81355932
best,79.66101695,20.33898305
bet,69.49152542,30.50847458
better,76.27118644,23.72881356
big,72.88135593,27.11864407
biggest,67.79661017,32.20338983
birthday,77.96610169,22.03389831
bit,76.27118644,23.72881356
black,72.88135593,27.11864407
blame,72.88135593,27.11864407
block,72.88135593,27.11864407
blood,69.49152542,30.50847458
bodi,72.88135593,27.11864407
book,66.10169492,33.89830508
bottl,69.49152542,30.50847458
bought,76.27118644,23.72881356
brain,76.27118644,23.72881356
broke,74.57627119,25.42372881
burn,71.18644068,28.81355932
buy,69.49152542,30.50847458
call,71.18644068,28.81355932
came,76.27118644,23.72881356
can,76.27118644,23.72881356
cant,77.96610169,22.03389831
care,69.49152542,30.50847458
carri,67.79661017,32.20338983
case,71.18644068,28.81355932
cat,74.57627119,25.42372881
celebr,69.49152542,30.50847458
challeng,76.27118644,23.72881356
chang,67.79661017,32.20338983
charact,74.57627119,25.42372881
chat,83.05084746,16.94915254
chines,83.05084746,16.94915254
chocol,76.27118644,23.72881356
choos,71.18644068,28.81355932
christma,69.49152542,30.50847458
citi,81.3559322,18.6440678
clean,71.18644068,28.81355932
clear,71.18644068,28.81355932
close,66.10169492,33.89830508
cloth,69.49152542,30.50847458
coffe,69.49152542,30.50847458
cold,62.71186441,37.28813559
come,74.57627119,25.42372881
complet,67.79661017,32.20338983
consid,74.57627119,25.42372881
constant,76.27118644,23.72881356
convers,66.10169492,33.89830508
cook,71.18644068,28.81355932
cool,71.18644068,28.81355932
copi,71.18644068,28.81355932
couldnt,64.40677966,35.59322034
count,74.57627119,25.42372881
cours,72.88135593,27.11864407
cover,69.49152542,30.50847458
crazi,69.49152542,30.50847458
cri,74.57627119,25.42372881
cross,72.88135593,27.11864407
cup,71.18644068,28.81355932
current,67.79661017,32.20338983
cut,69.49152542,30.50847458
cute,69.49152542,30.50847458
dad,69.49152542,30.50847458
danc,77.96610169,22.03389831
dark,69.49152542,30.50847458
