,ID1,ID2
1,66,90
2,63,31
3,48,32
4,4,16
5,126,19
6,78,31
7,5,38
8,56,97
9,54,130
10,96,101
11,88,72
12,30,36
13,49,36
14,116,97
15,107,74
16,46,106
17,2,45
18,6,28
19,40,97
20,93,121
21,9,74
22,102,106
23,112,32
24,89,83
25,27,110
26,104,84
27,103,34
28,11,130
29,115,23
30,33,29
31,3,106
32,87,42
33,35,114
34,91,15
35,37,34
36,69,97
37,39,74
38,64,76
39,108,43
40,95,24
41,92,13
42,124,19
43,94,130
44,62,24
45,8,45
46,98,38
47,60,130
48,41,17
49,-1,97
50,70,106
51,119,83
52,21,76
53,100,45
54,79,122
55,52,76
56,123,51
57,25,13
58,44,110
59,20,120
60,81,74
61,131,31
62,59,76
63,105,80
64,99,55
65,18,97
