"","ID1","ID2"
"1","63","61"
"2","31","61"
"3","73","108"
"4","114","35"
"5","4","54"
"6","65","130"
"7","126","49"
"8","109","130"
"9","78","96"
"10","5","81"
"11","56","35"
"12","88","72"
"13","107","124"
"14","46","18"
"15","6","28"
"16","93","121"
"17","9","39"
"18","76","64"
"19","102","69"
"20","50","51"
"21","86","61"
"22","112","25"
"23","89","49"
"24","7","25"
"25","103","1"
"26","83","49"
"27","11","130"
"28","115","108"
"29","33","95"
"30","111","2"
"31","43","67"
"32","3","69"
"33","16","58"
"34","91","26"
"35","37","116"
"36","129","49"
"37","90","18"
"38","74","39"
"39","97","1"
"40","36","49"
"41","101","96"
"42","38","98"
"43","92","48"
"44","29","69"
"45","62","24"
"46","8","45"
"47","60","130"
"48","125","98"
"49","57","84"
"50","41","45"
"51","106","96"
"52","17","96"
"53","70","96"
"54","13","25"
"55","21","44"
"56","82","68"
"57","10","110"
"58","79","122"
"59","15","68"
"60","20","120"
"61","32","48"
"62","59","72"
"63","128","44"
"64","105","80"
"65","99","55"
