,ID1,ID2
48,-1,97
27,3,102
5,4,16
10,5,38
19,6,48
55,10,69
51,14,97
65,18,69
52,21,44
37,22,89
44,23,24
60,25,103
43,26,43
41,28,2
14,30,89
62,32,13
25,33,69
33,36,49
31,37,116
36,39,74
26,45,54
17,46,48
18,51,50
57,52,127
29,53,9
59,55,58
11,56,35
63,59,62
2,63,31
6,65,54
1,66,102
23,68,40
49,70,102
46,71,20
35,72,31
3,73,108
20,76,64
28,77,7
9,78,49
56,79,60
30,80,108
61,81,74
21,86,11
39,92,48
40,94,54
38,95,24
13,96,31
53,100,40
34,101,102
24,104,84
64,105,124
47,106,102
16,107,74
8,109,16
22,110,27
54,113,20
4,114,35
45,118,69
50,119,11
12,121,82
15,122,54
58,123,50
7,126,49
32,129,20
42,130,20
