Feature,VarImp
Posts_per_Day,-1.7318049
Time_of_posts,2.793048964
Followers,0.605905734
Follows,5.854663531
No_of_Posts,-1.059827608
No_of_Replies,0.031898362
No_of_Hashtags,5.019822754
No_of_mentions,3.258509332
No_of_Emoji,-0.619077273
No_of_Retweets,0.961787827
No_of_retweeted,9.759433173
No_of_PosTerms,2.727997011
No_of_NegTerms,-0.151026504
abil,0.969371889
abl,-0.640802611
absolut,0.30721814
accept,1.018800708
account,-0.115270816
across,-0.700562706
act,0.675303021
actual,1.225729188
add,-0.067365925
ago,0.327536088
air,2.243712257
album,-1.103070195
almost,0.815484506
alreadi,-1.080962504
also,3.240058798
alway,0.717003575
amaz,-1.700594239
american,0.234658956
anim,0.964429338
annoy,-2.072822594
anoth,0.876243603
anxieti,0.011493408
anymor,0.861458254
anyon,-1.104822342
anyth,0.508218332
appar,0.276013418
appear,-1.000250094
appli,-0.357970775
appoint,0.892034691
arent,-1.969871178
around,0.861996214
arriv,-0.08478977
art,1.364081346
ask,2.736312668
asleep,-1.74568532
assum,-0.345151156
attack,0.242704708
attent,1.085376559
attract,1.138830226
awar,0.885092843
away,-0.066259021
awesom,-0.8446825
babi,0.364495888
back,-1.365611975
bad,1.785509386
bag,-0.201099407
ball,0
band,1.260152708
basic,-0.866150112
beauti,-0.770712987
becom,-1.34082698
bed,-1.623622299
behind,2.272632561
believ,1.288277366
best,-1.673322176
bet,-1.000250094
better,-1.492918534
big,0.35011363
biggest,-0.449605146
birthday,1.646732173
bit,-1.483894866
black,-0.749003021
blame,-1.342244933
block,-2.29541345
blood,1.230708622
bodi,1.950602912
book,0.102175088
bottl,-0.380586912
bought,-1.666017057
brain,0.579921791
broke,0.659686641
burn,2.34278739
buy,-2.376187498
call,1.014733812
came,-0.157834731
can,0.851179407
cant,-0.979972788
care,-1.128849167
carri,1.72002847
case,0.352696375
cat,-1.600735659
celebr,2.577048284
challeng,0.27286633
chang,2.703539773
charact,-0.79659171
chat,-0.191428571
chines,-1.730933601
chocol,-0.848844754
choos,0.497598102
christma,-1.279924334
citi,0.182516466
clean,0.223294001
clear,0.720173781
close,3.362741056
cloth,-1.000250094
coffe,-0.744169436
cold,1.729316505
come,0.934279155
complet,1.227693422
consid,-1.725951778
constant,0.31832226
convers,-1.378703853
cook,-0.71906241
cool,-0.452419071
copi,0.392000439
couldnt,0.787634763
count,-0.864621013
cours,-0.24818828
cover,0.586011137
crazi,1.195347585
cri,2.563822422
cross,-0.06142957
cup,2.336846398
current,-1.322228515
cut,0.534456805
cute,-0.335786197
dad,0.389543316
danc,0.150252749
dark,-0.458268494
day,-0.019478945
dead,1.703118346
decid,0.690243629
decis,1.000250094
definit,-1.390977185
depress,0.751891
deserv,1.263353777
dick,0.972128699
didnt,1.570554103
die,0.808776002
differ,2.534494617
direct,-0.059492611
distract,-1.846910537
doctor,-1.413128625
doesnt,-0.619642469
done,1.549708335
dont,3.022792399
drag,-0.08262541
dream,-0.727641194
dress,2.28674684
drink,-0.568586746
drive,-2.271440034
driver,0.305059916
drug,0.711531103
ear,-1.413978873
earli,1.374768906
eat,-0.242938001
els,2.364943432
email,-0.588466939
encourag,-1.077128533
end,0.338318985
energi,0
english,-1.414887519
enjoy,2.199984978
enough,-0.913171378
enter,3.575664283
entir,1.573058414
episod,0.119920253
especi,-0.486533171
even,-1.828366391
ever,0.37552964
everi,0.977941473
everyon,0.747252373
everyth,0.424817983
except,1.874583039
excit,0.805684785
expect,0.879308969
experi,3.184637766
explain,-1.317881409
eye,-0.966407618
face,0.152002898
facebook,-0.036190299
fact,0.70739766
fall,-1.592136
famili,0.429157959
fan,0.997577348
fanci,-1.352366403
far,0.23955693
favourit,0.977110932
feed,0.017997439
feel,4.24947145
femal,0.694630698
fight,0.543417737
figur,0.410820356
fill,-0.530861699
film,-0.505458228
final,-0.903607065
find,-1.5859339
fine,0.439446031
fire,-1.838417132
first,1.786621848
five,-0.791842888
fli,0.785231375
fmailymangirlboy,-1.59017104
focus,-1.055456712
follow,-0.156752729
food,1.042139546
forgot,-0.655485722
forward,-1.501083097
found,-0.032630245
freak,1.596297919
free,-0.036599862
friday,-1.140774558
friend,-0.657651068
front,0.7877843
fuck,5.654877823
full,0.29574293
fulli,-0.587807411
fun,3.308274381
funni,-0.136338775
futur,-1.632777378
game,0.255551983
gave,0.503088035
gay,-1.981813553
get,0.091468378
girlfriend,0.455217471
give,-0.594405215
god,3.320611969
gone,2.32024854
good,0.05258774
got,0.176844389
grate,-0.042135664
great,1.46833619
guess,-2.133531087
guy,-1.485454739
hair,-1.334992619
half,1.517613856
hand,1.79482576
handl,-0.5761029
happen,-0.386169966
happi,2.702615694
hard,0.618998189
hate,-0.317442933
havent,1.346519287
head,0.283884
hear,-0.785489434
heard,-1.51475852
heart,-1.950845047
hello,0.666462809
help,2.583175433
hes,0.273898806
hide,-0.577809002
high,1.412912611
home,0.225639999
hope,1.115550735
hot,1.822153248
hour,-0.241851355
hous,2.509284278
hug,-1.767966914
huge,0.031261881
human,0.411222339
hurt,0.598284839
ice,-0.533688847
idea,0.31068261
idk,0.816145623
ill,-2.336592518
imagin,1.259202539
immedi,1.054873465
import,4.548510795
includ,1.77012771
insid,-0.258368171
instead,1.73662059
interest,0.849616601
internet,-0.790543804
iron,-0.695207524
ive,1.220994378
jesus,0.819528559
job,-1.904593359
joke,-0.925746246
judg,-1.533570825
just,2.219274837
keep,0.758322071
kick,-1.779680208
kid,-0.230541427
kill,0.299097973
kind,0.26773856
know,-0.258011698
ladi,-1.651017658
last,0.261161291
late,1.297973739
later,3.450157855
laugh,-2.352956729
learn,2.227704953
least,2.305474335
leav,1.627072279
left,-0.48075344
leg,0.063552931
legal,1.792823926
let,-2.454411216
lie,-1.333635163
life,0.802629908
like,-1.616078142
line,1.085473017
lip,0.718184679
list,0.387750105
listen,0.094805976
littl,-0.448184326
live,2.19651593
lol,-0.24950969
long,-0.82592445
look,0.177373957
lose,2.036362078
lost,-1.910706449
lot,0.623157391
love,0.958871479
lt3,0.198890497
mad,0.596613095
made,1.666148021
make,0.300973554
man,1.192100212
mani,2.184000745
marri,-0.047515778
matter,0.767504458
may,2.383100924
mean,-0.461905102
medic,1.397166833
meet,1.073103552
men,0.622970512
met,3.028437604
mind,2.236996878
minut,0.637117957
miss,-0.845643542
mix,-1.000250094
