Unnamed: 0,ID1,ID2
1,66,96
2,63,31
3,73,108
4,48,56
5,65,109
6,78,96
7,47,69
8,88,72
9,30,109
10,116,1
11,107,124
12,51,122
13,2,54
14,6,8
15,93,80
16,61,31
17,9,21
18,76,55
19,102,121
20,50,31
21,86,38
22,110,43
23,75,39
24,68,71
25,89,49
26,34,103
27,27,85
28,104,83
29,11,38
30,115,108
31,33,18
32,111,69
33,45,28
34,3,69
35,77,96
36,35,114
37,91,21
38,127,8
39,42,24
40,37,1
41,129,20
42,84,43
43,74,39
44,97,1
45,64,7
46,22,36
47,95,18
48,29,36
49,94,28
50,98,38
51,130,109
52,26,10
53,57,83
54,118,92
55,106,96
56,70,96
57,120,20
58,113,20
59,79,122
60,15,21
61,52,40
62,123,122
63,25,18
64,128,44
65,105,53
