,ID1,ID2
13,2,54
34,3,69
14,6,28
17,9,21
29,11,38
60,15,21
46,22,36
63,25,18
52,26,43
27,27,85
48,29,69
9,30,36
31,33,18
26,34,103
36,35,114
40,37,1
39,42,24
33,45,8
7,47,109
4,48,56
20,50,31
12,51,122
61,52,40
53,57,23
16,61,83
2,63,31
45,64,96
5,65,109
1,66,96
24,68,71
56,70,96
3,73,108
43,74,39
23,75,39
18,76,55
35,77,31
6,78,96
59,79,122
42,84,43
21,86,7
8,88,72
25,89,49
37,91,21
15,93,121
49,94,28
47,95,18
44,97,1
50,98,38
19,102,38
28,104,83
65,105,80
55,106,96
11,107,124
22,110,10
32,111,53
58,113,20
30,115,108
10,116,1
54,118,69
57,120,20
62,123,122
38,127,8
64,128,44
41,129,20
51,130,109
