Unnamed: 0,ID1,ID2
1,66,85
2,63,31
3,73,108
4,48,56
5,65,109
6,78,40
7,47,109
8,88,72
9,30,36
10,116,96
11,107,124
12,51,122
13,2,54
14,6,28
15,93,121
16,61,38
17,9,21
18,76,55
19,102,69
20,50,20
21,86,38
22,110,10
23,75,39
24,68,49
25,89,108
26,34,103
27,27,96
28,104,83
29,11,71
30,115,122
31,33,18
32,111,53
33,45,8
34,3,83
35,77,7
36,35,114
37,91,69
38,127,8
39,42,24
40,37,1
41,129,20
42,84,43
43,74,39
44,97,1
45,64,96
46,22,18
47,95,36
48,29,69
49,94,18
50,98,31
51,130,109
52,26,43
53,57,21
54,118,92
55,106,38
56,70,96
57,120,20
58,113,31
59,79,1
60,15,21
61,52,96
62,123,122
63,25,28
64,128,44
65,105,80
