,ID1,ID2
53,-1,97
13,2,54
4,4,54
14,6,130
22,7,40
16,9,74
58,10,73
25,11,130
41,12,130
55,13,25
33,16,109
52,17,73
61,20,130
44,22,68
21,27,98
47,28,130
3,31,25
64,32,48
27,33,95
36,37,116
45,38,5
35,42,24
29,43,83
60,44,21
30,45,8
12,46,18
10,49,57
18,50,51
32,53,25
59,55,58
6,56,35
49,60,79
15,61,78
48,62,24
2,63,15
42,64,70
1,66,102
26,67,130
40,72,80
17,76,36
62,81,74
57,82,68
38,84,57
31,87,112
8,88,79
20,89,83
7,96,78
39,101,3
24,103,34
23,104,83
65,105,65
51,106,102
11,107,74
43,108,80
19,110,121
28,111,100
56,113,68
54,120,57
9,122,79
46,124,19
50,125,29
5,126,19
34,127,80
37,129,83
63,131,93
