Feature,VarImp
Posts_per_Day,-0.000901837
Time_of_posts,0.000701438
Followers,7.34E-05
Follows,0.000674344
No_of_Posts,-0.000436865
No_of_Replies,6.53E-05
No_of_Hashtags,0.000484183
No_of_mentions,0.001635478
No_of_Emoji,-0.000233235
No_of_Retweets,0.001056086
No_of_retweeted,0.003693312
No_of_PosTerms,0.000659808
No_of_NegTerms,3.54E-05
abil,3.25E-05
abl,-4.66E-05
absolut,7.22E-05
accept,7.75E-05
account,1.90E-05
across,-2.98E-05
act,9.80E-06
actual,0.000235082
add,1.25E-05
ago,5.55E-05
air,0.000403686
album,-4.23E-05
almost,7.81E-05
alreadi,-0.000159423
also,0.000945643
alway,-0.00024884
amaz,6.68E-06
american,2.98E-05
anim,3.24E-05
annoy,-0.000101429
anoth,0.000174008
anxieti,2.93E-05
anymor,1.28E-05
anyon,-7.41E-05
anyth,0.000259872
appar,6.12E-05
appear,-1.06E-05
appli,-3.15E-05
appoint,0.000157356
arent,-5.22E-05
around,0.00016427
arriv,3.41E-05
art,0.0001161
ask,0.000188575
asleep,-1.28E-05
assum,3.72E-05
attack,1.76E-05
attent,7.07E-05
attract,0.000115811
awar,3.79E-05
away,-2.15E-05
awesom,-5.08E-05
babi,-5.38E-05
back,-0.000368709
bad,0.000375978
bag,0.000245893
ball,0
band,2.88E-05
basic,-1.41E-05
beauti,-0.000123764
becom,-3.94E-05
bed,-9.89E-05
behind,9.87E-05
believ,0.000227844
best,-0.000396438
bet,-1.02E-05
better,-0.000384841
big,6.58E-05
biggest,4.59E-05
birthday,1.11E-05
bit,-0.000156848
black,-8.60E-05
blame,-1.11E-05
block,-9.02E-05
blood,8.60E-05
bodi,4.93E-05
book,-7.46E-06
bottl,1.15E-05
bought,-2.07E-05
brain,-1.18E-05
broke,4.34E-07
burn,0.000174849
buy,-0.000147616
call,-0.000227155
came,1.33E-05
can,-2.66E-05
cant,-0.000361424
care,-0.000125012
carri,0.000308716
case,9.28E-05
cat,-6.13E-05
celebr,0.000202765
challeng,2.92E-05
chang,0.000967178
charact,-2.70E-05
chat,0.000117271
chines,-2.05E-05
chocol,2.74E-06
choos,1.71E-05
christma,-6.74E-05
citi,4.43E-05
clean,3.39E-05
clear,-2.78E-06
close,0.000209742
cloth,-1.06E-05
coffe,7.08E-05
cold,3.44E-05
come,-0.000415887
complet,0.00018848
consid,-3.69E-05
constant,7.44E-05
convers,-4.38E-05
cook,-2.09E-05
cool,-6.50E-05
copi,-1.54E-05
couldnt,2.11E-05
count,2.51E-05
cours,0.000107945
cover,0.000102611
crazi,4.44E-05
cri,0.000356935
cross,-9.90E-07
cup,0.000123299
current,-6.25E-05
cut,-9.85E-05
cute,6.00E-05
dad,0.000188756
danc,7.07E-05
dark,4.95E-05
day,-4.04E-06
dead,-3.96E-05
decid,-4.67E-05
decis,0
definit,-7.54E-05
depress,-3.89E-05
deserv,0.000304763
dick,8.96E-06
didnt,0.000158493
die,7.54E-05
differ,0.000424632
direct,2.32E-05
distract,-4.17E-05
doctor,-4.22E-05
doesnt,0.000102118
done,0.000102257
dont,-0.000209938
drag,-5.71E-05
dream,-4.99E-05
dress,0.000468695
drink,-3.04E-05
drive,-7.16E-05
driver,2.39E-05
drug,0.000183846
ear,-2.44E-05
earli,0.000238369
eat,-0.000180995
els,0.000342827
email,-3.01E-05
encourag,1.87E-05
end,0.000162162
energi,0
english,-2.02E-05
enjoy,0.000380608
enough,-9.29E-05
enter,0.000247488
entir,0.00017568
episod,0.000170474
especi,-3.15E-05
even,-0.000196126
ever,-0.000750949
everi,0.00016384
everyon,-1.74E-06
everyth,0.000156396
except,7.67E-05
excit,0.000125039
expect,0.000271936
experi,0.000563288
explain,2.30E-05
eye,1.07E-05
face,-2.36E-05
facebook,-3.98E-05
fact,8.21E-05
fall,-0.000260308
famili,6.86E-05
fan,5.01E-05
fanci,-3.82E-05
far,7.70E-05
favourit,3.39E-05
feed,4.13E-06
feel,0.001287121
femal,-1.57E-06
fight,5.20E-05
figur,2.18E-05
fill,-1.11E-05
film,-1.47E-05
final,-0.000192497
find,-0.000138069
fine,-6.43E-05
fire,-0.000126827
first,0.000636623
five,-7.23E-06
fli,4.13E-05
fmailymangirlboy,-0.001362924
focus,-2.72E-05
follow,-0.000340517
food,0.000109715
forgot,2.08E-05
forward,-3.79E-05
found,9.82E-05
freak,0.000259623
free,7.55E-05
friday,-2.33E-05
friend,-0.000115898
front,8.51E-05
fuck,0.000839003
full,3.39E-05
fulli,7.02E-06
fun,0.000816153
funni,-4.23E-05
futur,3.62E-07
game,0.000305955
gave,-4.40E-06
gay,-1.93E-05
get,-0.000521368
girlfriend,-3.43E-07
give,-7.07E-05
god,0.00053728
gone,0.000295037
good,-0.00029724
got,-0.000417354
grate,-2.70E-06
great,0.000488394
guess,-0.000182947
guy,5.17E-05
hair,-8.76E-05
half,3.48E-05
hand,1.98E-05
handl,1.10E-05
happen,0.000193835
happi,-5.27E-05
hard,6.57E-05
hate,-8.99E-05
havent,5.38E-05
head,-8.41E-05
hear,1.87E-05
heard,-7.34E-05
heart,-0.000211367
hello,0.000160418
help,0.000455111
hes,-0.000192456
hide,2.04E-05
high,0.000242893
home,0.000113187
hope,5.52E-05
hot,0.000453582
hour,6.91E-05
hous,0.000533386
hug,-5.16E-05
huge,0.000191449
human,0.000199428
hurt,0.000236251
ice,-9.42E-05
idea,0.000168943
idk,3.53E-05
ill,-0.000287667
imagin,0.000130284
immedi,9.04E-05
import,0.001168055
includ,0.000441533
insid,-1.23E-05
instead,0.000397444
interest,7.48E-05
internet,-5.03E-06
iron,-1.85E-05
ive,0.000135141
jesus,0.000118436
job,8.62E-07
joke,-1.71E-05
judg,-1.23E-05
just,0.000441005
keep,0.000108673
kick,1.88E-06
kid,-0.000440419
kill,0.000173631
kind,0.000191856
know,0.000281606
ladi,-2.97E-05
last,0.000524576
late,0.000231832
later,0.000609423
laugh,-0.000148427
learn,0.000712072
least,0.000464935
leav,0.000552898
left,0.000154257
leg,1.12E-05
legal,0.000200587
let,-0.000793834
lie,3.32E-05
life,-0.000965682
like,-0.001101204
line,0.000139682
lip,0.000111537
list,3.35E-05
listen,-0.000229504
littl,-0.000202098
live,0.000391326
lol,-0.000122807
long,-0.000168614
look,3.90E-06
lose,0.000193049
lost,-0.000119405
lot,-5.14E-05
love,0.000285202
lt3,6.97E-05
mad,0.000107815
made,0.000592328
make,-0.000163929
man,-6.41E-05
mani,0.00056459
marri,-1.07E-05
matter,7.15E-05
may,0.00075673
mean,-8.06E-05
medic,2.19E-05
meet,8.86E-05
men,5.83E-05
met,0.000220427
mind,0.000408826
minut,5.15E-05
miss,-1.59E-05
mix,-1.85E-05
money,1.25E-06
morn,0.000219505
mother,-3.44E-05
mouth,-3.64E-05
move,-4.23E-05
much,0.001886594
music,-1.50E-06
name,0.000134761
nap,-2.20E-05
natur,0.00028444
near,1.15E-05
need,0.000321287
netflix,-3.08E-05
never,0.000490305
new,-0.000430136
news,0.000178299
next.,-5.90E-05
nice,-0.000162282
night,1.92E-06
nope,2.05E-05
note,3.83E-05
noth,0.000122259
notic,6.21E-05
now,-0.000435633
offic,0.000294726
okay,0.000300341
old,0.000332409
omg,8.27E-05
one,-2.45E-05
onlin,0.000338058
